Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,Versions,AHFOW,My-record-collection
Today,Galaxie 500,,MASTER,,,1988,,,,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg,,,,,[015] Galaxie 500 - Today (Rough Trade US LP)|https://www.fullofwishes.co.uk/2023/03/09/my-record-collection-015-galaxie-500-today-rough-trade-us-lp/;[027] Galaxie 500 - Today (Schemer CD)|https://www.fullofwishes.co.uk/2023/04/20/my-record-collection-027-galaxie-500-today-schemer-cd/;[040] Today / On Fire / This Is Our Music (2009 LPs)|https://www.fullofwishes.co.uk/2023/06/05/my-record-collection-040-today-on-fire-this-is-our-music/;[044] Galaxie 500 - Today (maroon vinyl LP)|https://www.fullofwishes.co.uk/2023/06/19/my-record-collection-044-galaxie-500-today/;[074] Galaxie 500 - Today (Video Arts Japan CD)|https://www.fullofwishes.co.uk/2023/09/21/my-record-collection-071-galaxie-500-today-video-arts-japan-cd/;[153] Galaxie 500 - Today / Uncollected (2xCD)|https://www.fullofwishes.co.uk/2024/06/20/my-record-collection-146-galaxie-500-today-uncollected-2xcd/;[240] Galaxie 500 - Today (Shimmy Disc Europe LP)|https://www.fullofwishes.co.uk/2025/04/10/my-record-collection-galaxie-500-today-shimmy-disc-europe-lp/;[277] Galaxie 500 - Today (Aurora LP)|https://www.fullofwishes.co.uk/2025/08/18/my-record-collection-galaxie-500-today-aurora-lp/;
Today,Galaxie 500,,LP,9,US,1988,Aurora Records,AU 002,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste,Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg,,|flowers|pictures|parkinglot|dontletouryouthgotowaste|temperaturesrising|oblivious|itsgettinglate|instrumental|tugboat|||,,,
Today,Galaxie 500,,CD,11,DE,1989,Schemer,SCHEMER 8905/CD,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste|Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat|King of Spain|Crazy,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today_schemer_front.jpg,,|flowers|pictures|parkinglot|dontletouryouthgotowaste|temperaturesrising|oblivious|itsgettinglate|instrumental|tugboat|kingofspain|crazy||||,,AHFOW 10/005,https://www.fullofwishes.co.uk/2023/04/20/my-record-collection-027-galaxie-500-today-schemer-cd/
Today,Galaxie 500,,LP,9,NL,1989,Shimmy Disc Europe,SDE 8908 LP,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste,Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg,,|flowers|pictures|parkinglot|dontletouryouthgotowaste|temperaturesrising|oblivious|itsgettinglate|instrumental|tugboat|||,,,
Today,Galaxie 500,,CD,10,US,1991,Rough Trade America,R266-2,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste|Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat|King of Spain,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg,,|flowers|pictures|parkinglot|dontletouryouthgotowaste|temperaturesrising|oblivious|itsgettinglate|instrumental|tugboat|kingofspain||||,,,
Today,Galaxie 500,,CD,10,JP,1997,Videoarts Music,VACK-1119,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste|Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat|King of Spain,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg,1996 CD remaster by Alan Douches and Kramer,|flowers|pictures|parkinglot|dontletouryouthgotowaste|temperaturesrising|oblivious|itsgettinglate|instrumental|tugboat|kingofspain||||,,,
Today,Galaxie 500,,CD,10,US,1997,Rykodisc,RCD 10356,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste|Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat|King of Spain,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg,1996 CD remaster by Alan Douches and Kramer,|flowers|pictures|parkinglot|dontletouryouthgotowaste|temperaturesrising|oblivious|itsgettinglate|instrumental|tugboat|kingofspain||||,,,
Today,Galaxie 500,,CD,10,JP,2008,Videoarts Music,VACK 1368,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste|Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat|King of Spain,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today_f_vack1368001.jpg,1996 CD remaster by Alan Douches and Kramer,|flowers|pictures|parkinglot|dontletouryouthgotowaste|temperaturesrising|oblivious|itsgettinglate|instrumental|tugboat|kingofspain||||,,AHFOW 10/050,https://www.fullofwishes.co.uk/2023/09/21/my-record-collection-071-galaxie-500-today-video-arts-japan-cd/
Today,Galaxie 500,,LP,9,US,2009,Domino,REWIGLP69,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste,Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg,2009 vinyl remaster by Alan Douches and Kramer,|flowers|pictures|parkinglot|dontletouryouthgotowaste|temperaturesrising|oblivious|itsgettinglate|instrumental|tugboat|||,,,
Today,Galaxie 500,,LP,9,US,2009,20|20|20,202020.07LP,Flowers|Pictures|Parking Lot|Don't Let Our Youth Go to Waste,Temperature's Rising|Oblivious|It's Getting Late|Instrumental|Tugboat,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg," - 2009 vinyl remaster by Alan Douches and Kramer
 - 2009 - black vinyl
 - 2019 - maroon swirl vinyl - Newbury Comics exclusive (400 copies)
 - 2022 - glacial blue vinyl - Newbury Comics exclusive (500 copies)",|flowers|pictures|parkinglot|dontletouryouthgotowaste|temperaturesrising|oblivious|itsgettinglate|instrumental|tugboat|||,,,
Today / Uncollected,Galaxie 500,,2×CD,24,GB,2010,Domino,REWIGCD69,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain|Here She Comes Now",Cheese and Onions|Them|Final Day|Blue Thunder [w/sax]|Maracas Song|Crazy|Jerome|Song in 3|Oblivious [alternate version]|I Can't Believe It's Me|Walking Song|The Other Side|On the Floor|Rain [live]|Don't Let Our Youth Go to Waste [live]|Blue Thunder [video],,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg,1996 CD remaster by Alan Douches and Kramer,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspain|hereshecomesnow|cheeseandonions|them|finalday|bluethunder|maracassong|crazy|jerome|songin3|oblivious|icantbelieveitsme|walkingsong|theotherside|onthefloor|rain|dontletouryouthgotowaste|bluethunder|||,,AHFOW 10/006,https://www.fullofwishes.co.uk/2024/06/20/my-record-collection-146-galaxie-500-today-uncollected-2xcd/
Today / Uncollected,Galaxie 500,,2×CD,24,US,2010,20|20|20,202020.07,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain|Here She Comes Now",Cheese and Onions|Them|Final Day|Blue Thunder [w/sax]|Maracas Song|Crazy|Jerome|Song in 3|Oblivious [alternate version]|I Can't Believe It's Me|Walking Song|The Other Side|On the Floor|Rain [live]|Don't Let Our Youth Go to Waste [live]|Blue Thunder [video],,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_today.jpg,1996 CD remaster by Alan Douches and Kramer,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspain|hereshecomesnow|cheeseandonions|them|finalday|bluethunder|maracassong|crazy|jerome|songin3|oblivious|icantbelieveitsme|walkingsong|theotherside|onthefloor|rain|dontletouryouthgotowaste|bluethunder|||,,,